tweet_id,text,language,label
sw_0,sw good excellent love amazing 0,sw,positive
sw_1,sw bad terrible hate awful 1,sw,negative
sw_2,sw good excellent love amazing 2,sw,positive
sw_3,sw good excellent love amazing 3,sw,positive
sw_4,sw bad terrible hate awful 4,sw,negative
sw_5,sw okay fine average 5,sw,neutral
sw_6,sw bad terrible hate awful 6,sw,negative
sw_7,sw good excellent love amazing 7,sw,positive
sw_8,sw okay fine average 8,sw,neutral
sw_9,sw bad terrible hate awful 9,sw,negative
sw_10,sw okay fine average 10,sw,neutral
sw_11,sw bad terrible hate awful 11,sw,negative
sw_12,sw good excellent love amazing 12,sw,positive
sw_13,sw okay fine average 13,sw,neutral
sw_14,sw good excellent love amazing 14,sw,positive
sw_15,sw bad terrible hate awful 15,sw,negative
sw_16,sw good excellent love amazing 16,sw,positive
sw_17,sw okay fine average 17,sw,neutral
sw_18,sw okay fine average 18,sw,neutral
sw_19,sw good excellent love amazing 19,sw,positive
sw_20,sw good excellent love amazing 20,sw,positive
sw_21,sw good excellent love amazing 21,sw,positive
sw_22,sw good excellent love amazing 22,sw,positive
sw_23,sw bad terrible hate awful 23,sw,negative
sw_24,sw okay fine average 24,sw,neutral
sw_25,sw bad terrible hate awful 25,sw,negative
sw_26,sw okay fine average 26,sw,neutral
sw_27,sw okay fine average 27,sw,neutral
sw_28,sw good excellent love amazing 28,sw,positive
sw_29,sw okay fine average 29,sw,neutral
sw_30,sw bad terrible hate awful 30,sw,negative
sw_31,sw okay fine average 31,sw,neutral
sw_32,sw good excellent love amazing 32,sw,positive
sw_33,sw okay fine average 33,sw,neutral
sw_34,sw bad terrible hate awful 34,sw,negative
sw_35,sw okay fine average 35,sw,neutral
sw_36,sw good excellent love amazing 36,sw,positive
sw_37,sw okay fine average 37,sw,neutral
sw_38,sw bad terrible hate awful 38,sw,negative
sw_39,sw good excellent love amazing 39,sw,positive
sw_40,sw good excellent love amazing 40,sw,positive
sw_41,sw bad terrible hate awful 41,sw,negative
sw_42,sw okay fine average 42,sw,neutral
sw_43,sw good excellent love amazing 43,sw,positive
